	0
Station	Tippecanoe
site_no	3331500.0
Mean Flow	955.6974044463925
Peak Flow	9410.0
Median  Flow	0.0
Coeff Var	83.19045319063656
Skew	1.9407244618431323
Tqmean	0.3611403548169772
R-B Index	0.09048366371088169
7Q	220.09142857142854
3xMedian	35.14
Median Flow	671.0
Station	Wildcat
site_no	3335000.0
Mean Flow	865.8806559718718
Peak Flow	21000.0
Median  Flow	0.0
Coeff Var	148.2092767343708
Skew	3.979348376044309
Tqmean	0.26369458791825734
R-B Index	0.2714214510878471
7Q	107.30571428571432
3xMedian	63.36
Median Flow	414.0
