Date	site_no	Discharge	Mean Flow	Coeff Var	Tqmean	R-B Index	Station
1	3331500	1118.534193548387	1118.534193548387	37.60277376569959	0.384516129032258	0.08607116521573893	Tippecanoe
2	3331500	1243.4372413793108	1243.4372413793108	43.29568910361238	0.3922167487684729	0.09409146761001556	Tippecanoe
3	3331500	1586.0045161290325	1586.0045161290325	33.23218779675563	0.42516129032258065	0.07730612193110524	Tippecanoe
4	3331500	1555.0520000000004	1555.0520000000004	33.27928344868607	0.44999999999999996	0.07729121111462116	Tippecanoe
5	3331500	1219.6025806451612	1219.6025806451612	35.5475003695474	0.40258064516129033	0.0810680299332015	Tippecanoe
6	3331500	1093.35	1093.35	31.983243199631957	0.444	0.08739506799743912	Tippecanoe
7	3331500	680.3464516129035	680.3464516129035	36.5373581138389	0.4109677419354839	0.08994919481100824	Tippecanoe
8	3331500	471.6193548387098	471.6193548387098	31.02182129802363	0.4070967741935484	0.07348962562414227	Tippecanoe
9	3331500	409.1966666666668	409.1966666666668	26.538520945579183	0.37666666666666665	0.06640810176501528	Tippecanoe
10	3331500	491.2212903225806	491.2212903225806	24.748246179076233	0.4129032258064516	0.05613687670279765	Tippecanoe
11	3331500	688.158	688.158	30.0505602795865	0.4006666666666667	0.07252355785128317	Tippecanoe
12	3331500	935.2361290322583	935.2361290322583	31.32764937670464	0.39677419354838717	0.07480120212093243	Tippecanoe
1	3335000	1045.4047741935485	1045.4047741935485	77.40710635707944	0.3348387096774193	0.2243368275794962	Wildcat
2	3335000	1147.6435221674874	1147.6435221674874	73.76526312947676	0.34199507389162564	0.22555789616069943	Wildcat
3	3335000	1422.2251612903228	1422.2251612903228	65.80968972166622	0.3619354838709679	0.22119859735886382	Wildcat
4	3335000	1373.3724242424244	1373.3724242424244	65.24192029793035	0.35593939393939406	0.2176996484456064	Wildcat
5	3335000	1136.8360763660305	1136.8360763660305	64.2782128242618	0.3732718894009217	0.2161840711591998	Wildcat
6	3335000	1073.0213333333331	1073.0213333333331	75.41663817546963	0.331777777777778	0.28833450728875104	Wildcat
7	3335000	663.1460645161292	663.1460645161292	66.07878597468456	0.3361290322580645	0.24771475531950632	Wildcat
8	3335000	331.75219354838714	331.75219354838714	70.04869029436081	0.2961290322580645	0.24333194368783442	Wildcat
9	3335000	345.4254	345.4254	51.54777715480872	0.316	0.17926064496842198	Wildcat
10	3335000	371.32167741935484	371.32167741935484	46.28506385609318	0.3516129032258064	0.15080180399514914	Wildcat
11	3335000	640.7542000000001	640.7542000000001	65.00995136438733	0.3226666666666667	0.19304354564791665	Wildcat
12	3335000	922.6751612903223	922.6751612903223	65.21889589318079	0.3574193548387097	0.19948179859378348	Wildcat
